               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044434,            0.014293,           0.0065407,             0.93942,             0.86307,             0.91553,             0.38218,            0.038573,            0.011415,           0.0037807,           0.0082675,           0.0082675,           0.0082675
                  37,            0.038271,            0.014728,           0.0036195,             0.92863,             0.87773,             0.91626,             0.44002,            0.037448,            0.011476,           0.0037453,            0.008218,            0.008218,            0.008218
                  38,            0.039656,            0.014059,           0.0042358,             0.94796,             0.87041,             0.89493,             0.43515,             0.04213,            0.011495,            0.004058,           0.0081685,           0.0081685,           0.0081685
                  39,            0.044792,            0.014614,            0.005749,             0.93902,             0.88576,             0.90929,             0.43373,            0.037635,            0.011901,            0.003955,            0.008119,            0.008119,            0.008119
                  40,            0.039772,            0.014821,           0.0053947,             0.93092,             0.86864,             0.89534,              0.4268,            0.037384,            0.012161,           0.0041401,           0.0080695,           0.0080695,           0.0080695
                  41,            0.039891,            0.013591,           0.0052752,             0.94852,             0.87172,             0.90176,             0.44679,            0.037852,            0.011825,           0.0036134,             0.00802,             0.00802,             0.00802
                  42,            0.041321,            0.013722,           0.0058768,             0.94062,             0.87888,             0.90993,             0.44264,            0.039198,            0.011826,            0.003406,           0.0079705,           0.0079705,           0.0079705
                  43,            0.041887,            0.014792,            0.004292,             0.93976,             0.88307,             0.90619,             0.40783,            0.037618,            0.011866,           0.0031506,            0.007921,            0.007921,            0.007921
                  44,            0.038525,            0.014049,           0.0047499,             0.92291,             0.88357,             0.90378,             0.44511,            0.035644,            0.011665,           0.0030503,           0.0078715,           0.0078715,           0.0078715
                  45,             0.03941,            0.014605,           0.0042147,             0.93096,             0.88557,             0.90913,             0.46181,            0.037413,             0.01149,           0.0029263,            0.007822,            0.007822,            0.007822
                  46,            0.040102,            0.014198,           0.0056712,              0.9095,             0.87404,             0.89715,             0.43966,            0.036102,            0.011555,           0.0029295,           0.0077725,           0.0077725,           0.0077725
                  47,            0.042587,            0.013785,           0.0050819,             0.88926,             0.89134,             0.88139,             0.38955,            0.042675,            0.011666,           0.0025675,            0.007723,            0.007723,            0.007723
                  48,            0.036629,            0.013587,           0.0041278,              0.9038,             0.87956,             0.89947,              0.4262,            0.038575,              0.0119,           0.0032208,           0.0076735,           0.0076735,           0.0076735
                  49,            0.042034,            0.013982,           0.0043565,             0.92119,             0.86566,             0.89999,             0.43521,            0.037657,            0.012028,           0.0031267,            0.007624,            0.007624,            0.007624
                  50,            0.039574,            0.014485,           0.0047023,             0.89753,             0.88425,             0.90285,             0.43255,             0.03914,            0.011459,           0.0032347,           0.0075745,           0.0075745,           0.0075745
                  51,            0.038914,            0.014373,           0.0046182,             0.93788,             0.89088,             0.91494,             0.44178,            0.037346,            0.011231,           0.0027261,            0.007525,            0.007525,            0.007525
                  52,            0.038667,            0.013894,           0.0036033,             0.96733,             0.87665,              0.9194,             0.44237,             0.03582,            0.011197,           0.0028995,           0.0074755,           0.0074755,           0.0074755
                  53,            0.039224,            0.014122,           0.0043228,             0.92017,             0.90897,             0.92147,             0.46962,             0.03648,             0.01098,           0.0030716,            0.007426,            0.007426,            0.007426
