               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12812,            0.027169,            0.052444,          3.3514e-05,            0.004065,            1.89e-05,          4.6826e-06,             0.10886,            0.018942,            0.043893,               0.073,               0.003,               0.003
                   1,             0.11974,            0.024832,            0.047055,                   0,                   0,                   0,                   0,             0.10401,            0.018661,            0.041282,            0.044496,           0.0054961,           0.0054961
                   2,             0.11618,             0.02593,            0.045407,          5.8582e-05,            0.002451,          3.9088e-05,          3.9088e-06,            0.099146,            0.019747,            0.036923,            0.015378,           0.0073784,           0.0073784
                   3,             0.11135,            0.027072,            0.043611,          0.00069282,            0.035374,          0.00047646,          8.2086e-05,            0.097423,            0.020007,            0.035436,             0.00703,             0.00703,             0.00703
                   4,             0.10288,            0.028501,            0.040235,           0.0012431,            0.095289,           0.0053172,           0.0014056,            0.094055,            0.021326,            0.033169,             0.00703,             0.00703,             0.00703
                   5,             0.10264,             0.02918,            0.038533,           0.0029821,             0.21158,              0.0121,            0.002613,            0.092644,            0.023009,            0.032591,             0.00604,             0.00604,             0.00604
                   6,            0.097387,            0.028617,            0.038027,             0.29252,            0.055483,            0.032124,           0.0092633,             0.08797,            0.023397,            0.031351,             0.00505,             0.00505,             0.00505
                   7,            0.098842,            0.030658,            0.036758,             0.28958,             0.10497,            0.051449,            0.013914,            0.084495,            0.022633,             0.02968,             0.00406,             0.00406,             0.00406
                   8,            0.094658,            0.028883,            0.036502,             0.12474,             0.17603,            0.085326,            0.023933,            0.077874,            0.022419,            0.028665,             0.00307,             0.00307,             0.00307
                   9,            0.082297,            0.028173,            0.033752,              0.1602,             0.22608,             0.08954,            0.027042,            0.073415,            0.021809,            0.028746,             0.00208,             0.00208,             0.00208
