               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12812,            0.027169,            0.052444,          3.3514e-05,            0.004065,            1.89e-05,          4.6826e-06,             0.10886,            0.018942,            0.043893,               0.073,               0.003,               0.003
                   1,             0.11943,            0.024821,            0.047119,                   0,                   0,                   0,                   0,             0.10441,            0.019183,            0.041348,             0.04504,           0.0060396,           0.0060396
                   2,             0.11541,             0.02643,             0.04508,          5.1109e-05,            0.002451,          2.6703e-05,          2.6703e-06,            0.099096,            0.020377,            0.040643,            0.017018,           0.0090178,           0.0090178
                   3,              0.1121,            0.027489,            0.044192,          0.00091878,            0.065269,           0.0012198,          0.00018993,             0.10071,            0.021655,            0.040327,            0.009703,            0.009703,            0.009703
                   4,             0.10356,            0.028789,            0.040822,           0.0011479,            0.087366,           0.0033235,          0.00045501,            0.098043,            0.021305,            0.034014,            0.009703,            0.009703,            0.009703
                   5,             0.10269,            0.029163,            0.038208,           0.0032068,              0.2803,            0.015542,           0.0048112,            0.091364,            0.025493,            0.031179,            0.009604,            0.009604,            0.009604
                   6,            0.095823,            0.028355,            0.037069,             0.24722,            0.060998,            0.030721,           0.0076544,            0.089327,            0.024084,            0.030827,            0.009505,            0.009505,            0.009505
                   7,            0.098432,            0.028677,            0.037367,             0.27342,             0.16252,            0.066342,            0.016018,            0.077562,            0.026819,            0.030018,            0.009406,            0.009406,            0.009406
                   8,            0.090143,            0.028488,            0.035771,             0.11358,             0.26992,             0.11691,            0.031351,             0.07384,            0.030831,             0.02872,            0.009307,            0.009307,            0.009307
                   9,              0.0786,            0.027548,            0.033265,             0.10994,             0.28435,             0.10245,            0.030793,            0.074626,             0.02931,            0.028728,            0.009208,            0.009208,            0.009208
                  10,            0.077768,            0.026344,            0.033591,             0.20285,             0.36737,             0.18578,            0.057925,            0.059427,            0.020732,            0.028258,            0.009109,            0.009109,            0.009109
                  11,            0.071092,            0.024709,            0.034836,             0.23694,              0.3529,             0.19111,            0.059963,            0.058503,            0.019236,              0.0271,             0.00901,             0.00901,             0.00901
                  12,            0.070754,            0.024622,            0.030443,             0.18067,             0.25799,             0.13212,            0.038568,             0.06151,            0.019521,            0.025948,            0.008911,            0.008911,            0.008911
                  13,            0.070387,            0.023299,            0.032199,             0.23899,             0.40286,              0.2798,              0.0981,            0.059663,            0.023202,            0.025968,            0.008812,            0.008812,            0.008812
                  14,            0.063943,            0.023569,            0.032097,             0.30549,             0.47523,             0.34917,             0.13763,            0.050779,            0.016457,            0.025267,            0.008713,            0.008713,            0.008713
                  15,             0.06294,            0.021403,            0.030059,             0.28398,             0.42306,             0.32431,             0.13479,            0.056205,            0.017827,            0.024575,            0.008614,            0.008614,            0.008614
                  16,            0.062157,            0.021491,            0.030717,             0.30088,             0.50993,             0.30529,             0.12946,             0.05074,            0.016026,             0.02323,            0.008515,            0.008515,            0.008515
                  17,              0.0589,            0.021504,            0.026498,             0.41564,             0.51996,             0.44594,             0.17631,            0.047878,            0.015408,            0.022941,            0.008416,            0.008416,            0.008416
                  18,            0.058642,            0.020995,            0.024916,             0.43438,             0.56226,             0.46483,             0.20276,            0.047271,            0.015011,            0.020679,            0.008317,            0.008317,            0.008317
                  19,            0.058769,            0.020598,            0.028527,             0.53721,             0.54784,              0.4655,              0.1795,            0.045923,            0.014721,             0.02004,            0.008218,            0.008218,            0.008218
                  20,            0.060906,            0.020654,            0.025419,             0.39531,             0.57265,             0.40819,              0.1621,            0.052869,              0.0138,            0.018234,            0.008119,            0.008119,            0.008119
                  21,            0.057375,            0.019274,            0.022309,             0.45658,             0.54843,              0.4789,             0.18895,            0.048748,            0.014093,            0.017628,             0.00802,             0.00802,             0.00802
                  22,             0.05518,            0.019065,            0.021918,             0.51618,             0.63623,             0.55498,             0.23233,            0.045774,            0.013632,            0.017147,            0.007921,            0.007921,            0.007921
                  23,            0.053052,            0.019263,            0.018802,             0.51164,             0.61571,             0.50553,             0.20339,            0.046642,            0.013371,            0.016246,            0.007822,            0.007822,            0.007822
                  24,            0.054989,            0.018657,             0.01821,             0.62346,             0.62595,              0.6286,             0.26756,             0.04239,            0.013966,            0.015457,            0.007723,            0.007723,            0.007723
                  25,            0.051144,            0.018558,            0.018206,             0.60316,             0.66623,             0.65937,             0.28208,            0.046991,            0.013344,             0.01468,            0.007624,            0.007624,            0.007624
                  26,            0.049363,            0.019042,            0.018743,             0.64515,             0.67126,             0.67026,             0.29285,            0.045882,            0.012925,             0.01459,            0.007525,            0.007525,            0.007525
                  27,            0.052715,            0.018319,            0.019294,             0.65859,             0.70417,             0.65462,             0.27551,            0.044022,            0.013153,            0.013828,            0.007426,            0.007426,            0.007426
                  28,            0.052376,            0.018602,            0.016317,             0.60097,              0.7118,             0.66735,             0.30226,            0.040727,             0.01333,            0.013239,            0.007327,            0.007327,            0.007327
                  29,            0.051865,            0.018294,            0.016877,             0.60613,             0.73588,             0.63658,             0.27165,             0.04189,            0.013059,            0.012502,            0.007228,            0.007228,            0.007228
                  30,            0.050757,            0.018131,            0.016004,              0.7483,             0.74141,             0.73409,             0.31829,            0.039014,            0.012968,            0.012326,            0.007129,            0.007129,            0.007129
                  31,            0.046887,            0.017917,            0.015117,             0.72229,             0.69628,             0.71534,             0.28968,            0.043415,            0.013067,            0.012256,             0.00703,             0.00703,             0.00703
